DTW$May$2004$269$13$2345$12305$9629$Detroit, MI: Detroit Metro Wayne County
EWR$May$2004$339$14$3872$12998$8734$Newark, NJ: Newark Liberty International
FLL$May$2004$10$13$1114$5410$4283$Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
IAD$May$2004$162$15$1769$8990$7023$Washington, DC: Washington Dulles International
IAH$May$2004$390$13$3014$17238$13661$Houston, TX: George Bush Intercontinental/Houston
JFK$May$2004$41$12$1604$7278$5603$New York, NY: John F. Kennedy International
LAS$May$2004$67$14$2313$13277$10883$Las Vegas, NV: McCarran International
LAX$May$2004$173$14$2976$19345$16181$Los Angeles, CA: Los Angeles International
LGA$May$2004$299$12$2787$10702$7572$New York, NY: LaGuardia
MCO$May$2004$17$14$1712$8891$7159$Orlando, FL: Orlando International
MDW$May$2004$52$11$1847$7729$5807$Chicago, IL: Chicago Midway International
MIA$May$2004$41$13$974$5583$4547$Miami, FL: Miami International
MSP$May$2004$217$13$2209$12466$9994$Minneapolis, MN: Minneapolis-St Paul International
ORD$May$2004$1968$14$10964$32756$19588$Chicago, IL: Chicago O'Hare International
PDX$May$2004$36$10$781$4715$3897$Portland, OR: Portland International
PHL$May$2004$169$14$2405$9683$7074$Philadelphia, PA: Philadelphia International
PHX$May$2004$153$14$2020$14271$12077$Phoenix, AZ: Phoenix Sky Harbor International
